age,gender,daily_screen_time_min,social_media_time_min,negative_interactions_count,positive_interactions_count,sleep_hours,physical_activity_min,anxiety_level,stress_level,mood_level,mental_state
35,1,320,160,1,2,7.4,28,2,7,6,2
24,0,453,226,1,3,6.7,15,3,8,5,2
26,1,357,196,1,2,7.2,24,3,7,6,2
66,0,190,105,0,1,8.0,41,2,6,6,2
31,1,383,211,1,2,7.1,22,3,7,6,2
25,0,516,284,1,3,6.4,8,3,8,5,2
29,2,328,180,1,2,7.4,27,3,7,6,2
28,0,394,138,1,1,7.0,21,2,7,6,2
31,1,326,114,0,1,7.4,27,2,6,6,2
26,0,339,119,0,1,7.3,26,2,6,6,2
39,1,230,58,0,1,7.8,37,1,5,7,1
28,1,363,91,0,1,7.2,24,2,6,6,2
33,0,376,94,0,1,7.1,22,2,6,6,2
30,0,387,252,2,2,7.1,21,4,8,5,2
42,0,223,134,1,2,7.9,38,2,6,6,2
24,1,500,200,1,2,6.5,10,3,8,5,2
24,0,456,228,1,3,6.7,14,3,8,5,2
34,0,349,174,1,2,7.3,25,3,7,6,2
28,1,362,181,1,2,7.2,24,3,7,6,2
34,0,375,188,1,3,7.1,22,3,7,6,2
22,2,493,271,1,2,6.5,11,3,8,5,2
36,1,266,146,1,1,7.7,33,2,6,6,2
51,0,219,120,0,1,7.9,38,2,6,6,2
19,0,449,157,1,1,6.8,15,2,7,6,2
63,0,162,57,0,1,8.2,44,1,5,7,1
35,0,355,124,1,1,7.2,24,2,7,6,2
30,1,366,92,0,1,7.2,23,2,6,6,2
13,1,382,248,2,2,7.1,22,4,8,5,2
33,0,335,218,1,2,7.3,26,3,7,6,2
22,1,468,304,2,3,6.7,13,4,9,4,2
19,0,481,313,2,3,6.6,12,4,9,4,2
36,0,254,165,1,1,7.7,35,3,7,5,2
64,0,179,107,0,1,8.1,42,2,6,6,2
25,0,492,295,1,4,6.5,11,3,8,5,2
67,0,205,123,1,2,8.0,40,2,6,6,2
19,0,518,311,1,4,6.4,8,3,8,5,2
31,0,396,158,1,1,7.0,20,2,7,6,2
25,0,472,236,1,3,6.6,13,3,8,5,2
36,1,269,148,1,1,7.7,33,2,6,6,2
17,1,405,142,1,1,7.0,20,2,7,6,2
40,0,238,83,0,1,7.8,36,1,5,7,1
31,1,382,96,0,1,7.1,22,2,6,6,2
23,1,515,129,1,1,6.4,8,2,7,6,2
32,1,338,220,1,2,7.3,26,3,7,6,2
33,1,351,228,2,2,7.2,25,3,8,5,2
16,0,435,261,1,3,6.8,16,3,8,5,2
50,1,208,125,1,2,8.0,39,2,6,6,2
28,1,331,132,1,1,7.3,27,2,7,6,2
16,0,404,162,1,1,7.0,20,2,7,6,2
42,1,237,95,1,1,7.8,36,2,6,6,2
21,0,488,244,1,3,6.6,11,3,8,5,2
38,0,204,112,0,1,8.0,40,2,6,6,2
25,1,457,251,1,2,6.7,14,3,8,5,2
22,0,481,168,1,1,6.6,12,3,8,5,2
23,0,494,173,1,2,6.5,11,3,8,5,2
33,0,398,100,0,1,7.0,20,2,7,6,2
34,0,330,82,0,1,7.4,27,1,6,7,2
34,1,354,230,2,2,7.2,25,3,8,5,2
13,1,427,278,2,2,6.9,17,4,9,4,2
19,0,500,325,2,3,6.5,10,4,9,4,2
31,1,391,235,1,3,7.0,21,3,8,5,2
24,0,467,187,1,2,6.7,13,3,8,5,2
53,1,180,72,0,1,8.1,42,1,5,7,1
13,1,444,222,1,3,6.8,16,3,8,5,2
24,0,517,258,1,3,6.4,8,3,8,5,2
29,0,329,164,1,2,7.4,27,3,7,6,2
26,1,340,187,1,2,7.3,26,3,7,6,2
21,0,497,174,1,2,6.5,10,3,8,5,2
43,1,270,94,0,1,7.6,33,2,6,6,2
17,1,382,134,1,1,7.1,22,2,7,6,2
25,0,453,113,0,1,6.7,15,2,7,6,2
26,1,370,240,2,2,7.2,23,4,8,5,2
20,0,446,268,1,4,6.8,15,3,8,5,2
23,1,459,275,1,4,6.7,14,3,8,5,2
13,0,412,247,1,3,6.9,19,3,8,5,2
40,1,245,147,1,2,7.8,36,2,6,6,2
36,1,258,155,1,2,7.7,34,2,6,6,2
23,1,483,193,1,2,6.6,12,3,8,5,2
23,0,496,198,1,2,6.5,10,3,8,5,2
13,1,449,180,1,2,6.8,15,3,8,5,2
13,0,381,152,1,1,7.1,22,2,7,6,2
